no,description,maker,legacy_category,major,part_code,part_name,verdict,note
1,Service Charge - Replacement of Liner Cooling Water Jacket O-rings (Case 1: Cylinder Cover only),,Service > Technical Service > Repair & Overhaul,TS,,,OK,
2,Service Charge - Replacement of Liner Cooling Water Jacket O-rings (Case 2: Cylinder Liner removal),,Service > Technical Service > Repair & Overhaul,TS,,,OK,
3,Travelling Charge,,Service > Labor & Travel > Travelling,TS,,,OK,
4,Daily Allowance,,Service > Labor & Travel > Man-day / Overtime,TS,,,OK,
5,Trucking Fee,,Service > Other Service > Transportation,TR,,,OK,운송비 → TR(납품지원)로 분리 권장
6,Accommodation,,Service > Labor & Travel > Accommodation,TS,,,OK,
7,Emergency Engine Generator Model : SCANIA Marine Engine DI13 074M (DC12 53A Model Obsoleted) ABS Class included 376kW at 1800rpm IMO Tier II emission standard,,Engine Room > Electrical Power System > Generator,EN,EN-033,주발전기 / 비상발전기,OK,비상발전기 완제품
8,"Alternator Stamford Model : S4L1M-F1 300 kw(375kva) @1800rpm/60Hz, 450V, 3 phase ABS Class included, COO: CHINA",,Engine Room > Electrical Power System > Generator,EN,EN-033,주발전기 / 비상발전기,OK,얼터네이터 — 발전기세트 구성품
9,"Genset fabrication and inspection : Combining Generator & Alternator / Test, CLASS",,Engine Room > Electrical Power System > Generator,TS,,,SVC,조립·검사 용역인데 Generator(부품)로 분류됨
10,Main Starting Valve (Ball Valve & Actuator) complete assembly Make Mt.H HBB-150 &HAP-150,Mt.H,Engine Room > Starting Air System > Main Starting Valve,EN,EN-025,주 시동밸브,OK,
11,Repair Kit for Main Starting Ball valve (with complete seal set),,Engine Room > Starting Air System > Main Starting Valve,EN,EN-025,주 시동밸브,OK,오버홀킷
12,Labor Cost / Service Charge : STBD HH Crane Slow Heaving up Issue Inspection job,,Service > Technical Service > Inspection & Test,TS,,,OK,
13,Travelling Charge(Round) - Busan ↔ Onsan: 10 hrs,,Service > Labor & Travel > Travelling,TS,,,OK,
14,"BALL VALVE WITH ACTUATOR COMP. 200A, KK",KK,Engine Room > Starting Air System > Main Starting Valve,EN,EN-025,주 시동밸브,OK,Maker 필드 정상(KK)
15,"BALL VALVE WITH ACTUATOR COMP. 200A, MT.H",MT.H,Engine Room > Starting Air System > Main Starting Valve,EN,EN-025,주 시동밸브,OK,Maker 필드 정상(MT.H)
16,"BALL VALVE WITH ACTUATOR COMP. 50A, KK",KK,Engine Room > Starting Air System > Main Starting Valve,EN,EN-025,주 시동밸브,OK,50A — 시동공기/슬로우터닝 계통 확인 필요
